Year,113 Cause Name,Cause Name,Deaths,Age-adjusted Death Rate
2005,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,480,19.8
2005,Malignant neoplasms (C00-C97),Cancer,4238,191.0
2005,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,438,22.0
2006,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,1091,44.3
2006,All Causes,All causes,18872,864.7
2006,Alzheimer's disease (G30),Alzheimer's disease,281,15.9
2006,Cerebrovascular diseases (I60-I69),Stroke,847,41.3
2006,Chronic lower respiratory diseases (J40-J47),CLRD,1066,50.3
2006,Diabetes mellitus (E10-E14),Diabetes,294,13.0
2006,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,5013,233.7
2006,Influenza and pneumonia (J09-J18),Influenza and pneumonia,426,20.6
2006,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,486,19.3
2006,Malignant neoplasms (C00-C97),Cancer,4226,184.5
2006,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,475,22.7
2007,All Causes,All causes,18687,822.0
2007,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,1212,48.1
2007,Alzheimer's disease (G30),Alzheimer's disease,248,13.4
2007,Cerebrovascular diseases (I60-I69),Stroke,850,39.8
2007,Chronic lower respiratory diseases (J40-J47),CLRD,1050,48.9
2007,Diabetes mellitus (E10-E14),Diabetes,312,13.0
2007,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,4591,205.6
2007,Influenza and pneumonia (J09-J18),Influenza and pneumonia,408,19.2
2007,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,471,18.0
2007,Malignant neoplasms (C00-C97),Cancer,4331,180.8
2007,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,461,21.3
2008,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,1134,44.0
2008,All Causes,All causes,19335,828.7
2008,Alzheimer's disease (G30),Alzheimer's disease,279,14.5
2008,Cerebrovascular diseases (I60-I69),Stroke,906,40.8
2008,Chronic lower respiratory diseases (J40-J47),CLRD,1257,56.4
2008,Diabetes mellitus (E10-E14),Diabetes,373,15.6
2008,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,4646,202.0
2008,Influenza and pneumonia (J09-J18),Influenza and pneumonia,496,22.0
2008,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,528,19.7
2008,Malignant neoplasms (C00-C97),Cancer,4404,179.4
2008,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,456,20.0
2009,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,1025,39.0
2009,All Causes,All causes,19224,794.6
2009,Alzheimer's disease (G30),Alzheimer's disease,312,15.5
2009,Cerebrovascular diseases (I60-I69),Stroke,859,36.9
2009,Chronic lower respiratory diseases (J40-J47),CLRD,1244,53.3
2009,Diabetes mellitus (E10-E14),Diabetes,377,15.5
2009,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,4687,194.7
2009,Influenza and pneumonia (J09-J18),Influenza and pneumonia,542,23.3
2009,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,505,18.7
2009,Malignant neoplasms (C00-C97),Cancer,4461,175.3
2009,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,446,19.0
2010,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,1088,41.3
2010,All Causes,All causes,19623,795.4
2010,Alzheimer's disease (G30),Alzheimer's disease,296,14.2
2010,Cerebrovascular diseases (I60-I69),Stroke,796,33.3
2010,Chronic lower respiratory diseases (J40-J47),CLRD,1186,49.5
2010,Diabetes mellitus (E10-E14),Diabetes,350,13.8
2010,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,4811,197.3
2010,Influenza and pneumonia (J09-J18),Influenza and pneumonia,471,19.8
2010,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,547,19.8
2010,Malignant neoplasms (C00-C97),Cancer,4529,174.2
2010,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,471,19.5
2011,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,1155,42.8
2011,All Causes,All causes,20343,789.7
